"#","Registration No / Notification No","Product Name","Holder"
"200","MAL14035010AZ","RANOZYP TABLETS 5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"201","MAL14035011AZ","RANOZYP TABLETS 10 mg","RANBAXY (MALAYSIA) SDN. BHD."
"202","MAL11115046T","DW COOLING WATER","G&G Century (M) Sdn Bhd"
"203","MAL11125066T","EU YAN SANG GOLD LABEL BAK FOONG PILL (BIG PILL)","WENG LI SDN BHD"
"204","MAL13115128AZ","ESOZ Esomeprazole Magnesium Gastro-Resistant Tablets 40 mg","RANBAXY (MALAYSIA) SDN. BHD."
"205","MAL12015022TC","Herbalist Lok`s Series-F Capsule","Superior Response Sdn. Bhd."
"206","MAL11125067T","BTY MISTURA ZHI GAN CAO (Liquid)","BTY WORLDWIDE SDN.BHD."
"207","MAL11075038T","BTY SHI WEI HUA YIN KE LI","BTY WORLDWIDE SDN.BHD."
"208","MAL12025076AZ","RESOLOR 2mg Film Coated Tablets","JOHNSON & JOHNSON SDN BHD"
"209","MAL11125068T","VEGAPLEX CAPSULE","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"210","MAL12115056AZ","MYCOFIT 250MG CAPSULE","JETPHARMA SDN. BHD."
"211","MAL12095095XC","FluiFort -2.7g Sachet","EURODRUG LABORATORIES (M) SDN BHD"
"212","MAL12115057AZ","IRBEL HCT TABLETS 150 + 12.5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"213","MAL12115058AZ","IRBEL HCT TABLETS 300 + 12.5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"214","MAL15085026AZ","IRBEL HCT TABLETS 300 + 25 mg","RANBAXY (MALAYSIA) SDN. BHD."
"215","MAL14035012XCZ","Nicorette Invisi Transdermal Patch 10mg/16 hours","JOHNSON & JOHNSON SDN BHD"
"216","MAL11095036TC","Herbalist Lok`s Series-J Capsule","Superior Response Sdn. Bhd."
"217","MAL12015004AZ","ELONIDE Nasal Spray 50 mcg/dose","HOE PHARMACEUTICALS SDN. BHD."
"218","MAL13115204AZ","Stadovas 10mg Tablet","STADPHARM SDN. BHD."
"219","MAL11125090TC","Herbalist Lok`s Series-L Capsule","Superior Response Sdn. Bhd."
"220","MAL11115048TC","JACKEN VITAL MANHERBS CAPSULE","Jacken Resources"
"221","MAL12025025TC","BioLina Tongkat Ali Capsule","Nuvita Sdn. Bhd."
"222","MAL14095054XC","Uralyt-U Granules","MYLAN HEALTHCARE SDN. BHD."
"223","MAL11105004AZ","DEFUZIN CREAM 2% W/W","XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD"
"224","MAL13055053AZ","Demealran Tablets 10 mg","RANBAXY (MALAYSIA) SDN. BHD."
"225","MAL13055059AZ","Demealran Tablets 5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"226","MAL11105015T","O-SEED CAPSULE","EXTRA EXCEL (MALAYSIA) SDN. BHD."
"227","MAL12075006TCR","Herbs of Gold Milk Thistle + Dandelion Softgel","PHARMADIRECT SDN. BHD."
"228","MAL11105005AZ","DEFUZIN-B CREAM","XEPA-SOUL PATTINSON (MALAYSIA) SDN BHD"
"229","MAL13015031AZ","Teleact Tablets 40 mg","RANBAXY (MALAYSIA) SDN. BHD."
"230","MAL13015032AZ","Teleact Tablets 80 mg","RANBAXY (MALAYSIA) SDN. BHD."
"231","MAL15045123AZ","XOLSTAT TABLETS 5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"232","MAL15045124AZ","XOLSTAT TABLETS 10 mg","RANBAXY (MALAYSIA) SDN. BHD."
"233","MAL15045125AZ","XOLSTAT TABLETS 20 mg","RANBAXY (MALAYSIA) SDN. BHD."
"234","MAL11115049TC","StemMax Capsule","TST (ASIA) SDN. BHD."
"235","MAL12075076AZ","ENTECA TABLETS 0.5 mg","RANBAXY (MALAYSIA) SDN. BHD."
"236","MAL12075075AZ","ENTECA TABLETS 1 mg","RANBAXY (MALAYSIA) SDN. BHD."
"237","MAL13015039AZ","KARDAM 5 (Amlodipine Besilate Tablets 5 mg)","HEALOL PHARMACEUTICALS SDN. BHD."
"238","MAL11085009NC","Nutriva® Oliferin® Capsule","Nutriva International Sdn. Bhd."
"239","MAL11125047T","BTY JIE BIAO HUA YIN KE LI  (Granule)","BTY WORLDWIDE SDN.BHD."
"240","MAL11075039T","BTY CHAI HU SHU GAN KE LI (Granule)","BTY WORLDWIDE SDN.BHD."
"241","MAL11125089T","BTY XIAN FANG HUO MING KE LI","BTY WORLDWIDE SDN.BHD."
"242","MAL11105016T","BTY AN SHEN KE LI  (Granule)","BTY WORLDWIDE SDN.BHD."
"243","MAL11105017T","BTY XIAO YAO KE LI  (Granule)","BTY WORLDWIDE SDN.BHD."
"244","MAL11125070T","BTY DANG GUI SI NI KE LI (Granule)","BTY WORLDWIDE SDN.BHD."
"245","MAL11115050T","BTY LIU ZI YAN ZONG KE LI  (Granule)","BTY WORLDWIDE SDN.BHD."
"246","MAL11125071T","BTY WU LING KE LI (Granule)","BTY WORLDWIDE SDN.BHD."
"247","MAL11125072T","BTY GUI ZHI KE LI  (Granule)","BTY WORLDWIDE SDN.BHD."
"248","MAL14075034AZ","Ovulet 50mg Tablet","Vitamode  Sdn.bhd"
"249","MAL11095039TC","Nutravite Organic Spirulina 200mg Tablet","Nuvita Sdn. Bhd."
"250","MAL11105018TC","Nuvita Organic Spirulina 250mg Tablet","Nuvita Sdn. Bhd."
"251","MAL11085018TC","Grenhouss Spirulina & Chlorella Chewable Tablet","Nuvita Sdn. Bhd."
"252","MAL11085029TC","Nuvita Spirulina Tablet","Nuvita Sdn. Bhd."
"253","MAL11085014TC","Nexus Legend Amazing Story Spirulina + Chlorella Tablet","Nuvita Sdn. Bhd."
"254","MAL12055086T","HB` Chiro","Metro Signature Sdn Bhd"
"255","MAL14055161AZ","Flucor Night PE Soft Gelatin Capsule","HOVID BERHAD"
"256","MAL12025077ACRZ","COZAAR XQ 5/50MG TABLET","ORGANON MALAYSIA SDN. BHD."
"257","MAL12025070N","hovid CEREVITE  EMULSION","HOVID BERHAD"
"258","MAL11115047T","POON GOOR SOE MINYAK HUO LUO CAP DUA ORANG TUA","POON GOOR SOE MANUFACTURE SDN BHD"
"259","MAL11095040TC","H4LIFE Turmeric Extract","HEALTH BUILDERS (M) SDN BHD"
"260","MAL11085028TC","H4LIFE Olive Leaf Extract Capsule 450mg","HEALTH BUILDERS (M) SDN BHD"
"261","MAL12035012XCS","Tiger Balm Neck & Shoulder Rub","TIGER BALM (M) SDN BHD"
"262","MAL12025078ACRZ","COZAAR XQ 5/100MG TABLET","ORGANON MALAYSIA SDN. BHD."
"263","MAL11055002X","PAK YUEN TONG HUO LUO MEDICATED OIL","WTH PHARMACEUTICAL SDN BHD"
"264","MAL13015040ARZ","Norvir Tablet 100mg","ABBVIE SDN BHD"
"265","MAL12015007X","GLUSA-K 750MG TABLET","IMEKS PHARMA SDN. BHD."
"266","MAL12105077N","Bio-Selenium Plus","PHARMA NORD SDN. BHD."
